,IMDb,platform,fre
1,8.8,Netflix,1
2,8.7,Netflix,1
3,8.5,Netflix,1
4,8.5,Netflix,1
5,8.8,Netflix,1
6,8.4,Netflix,1
7,8.5,Netflix,1
8,8.4,Netflix,1
9,8.4,Netflix,1
10,8.3,Netflix,1
11,8.3,Netflix,1
12,8.4,Netflix,1
13,8.2,Netflix,1
14,8.1,Netflix,1
15,8.2,Netflix,1
16,8.5,Netflix,1
17,8.2,Netflix,1
18,8,Netflix,1
19,8,Netflix,1
20,8,Netflix,1
21,8.2,Netflix,1
22,7.7,Netflix,1
23,8,Netflix,1
24,8,Netflix,1
25,8.1,Netflix,1
26,7.7,Netflix,1
27,7.7,Netflix,1
28,7.9,Netflix,1
29,7.9,Netflix,1
30,7.9,Netflix,1
31,8,Netflix,1
32,7.8,Netflix,1
33,7.5,Netflix,1
34,7.6,Netflix,1
35,8.4,Netflix,1
36,8.2,Netflix,1
37,7.6,Netflix,1
38,7.9,Netflix,1
39,8.4,Netflix,1
40,7.8,Netflix,1
41,7.6,Netflix,1
42,7.6,Netflix,1
43,8,Netflix,1
44,8,Netflix,1
45,7.6,Netflix,1
46,7.7,Netflix,1
47,8,Netflix,1
48,8.5,Netflix,1
49,7.5,Netflix,1
50,8,Netflix,1
51,7.8,Netflix,1
52,7.9,Netflix,1
53,7.4,Netflix,1
54,7.8,Netflix,1
55,7.8,Netflix,1
56,7.8,Netflix,1
57,7.8,Netflix,1
58,8.2,Netflix,1
59,7.1,Netflix,1
60,7.5,Netflix,1
61,7.1,Netflix,1
62,7.7,Netflix,1
63,7.4,Netflix,1
64,8.2,Netflix,1
65,7.7,Netflix,1
66,7.2,Netflix,1
67,7.4,Netflix,1
68,8.1,Netflix,1
69,7.4,Netflix,1
70,8.1,Netflix,1
71,8.1,Netflix,1
72,7.6,Netflix,1
73,7.5,Netflix,1
74,7.8,Netflix,1
75,7.7,Netflix,1
76,7.7,Netflix,1
77,7.6,Netflix,1
78,7.6,Netflix,1
79,7.4,Netflix,1
80,7.3,Netflix,1
81,7.7,Netflix,1
82,8.1,Netflix,1
83,7.5,Netflix,1
84,7.2,Netflix,1
85,7.6,Netflix,1
86,7.7,Netflix,1
87,7.6,Netflix,1
88,8.2,Netflix,1
89,8.1,Netflix,1
90,8.1,Netflix,1
91,7.3,Netflix,1
92,7.3,Netflix,1
93,7,Netflix,1
94,7.3,Netflix,1
95,7.7,Netflix,1
96,7.5,Netflix,1
97,7.9,Netflix,1
98,7.9,Netflix,1
99,7.3,Netflix,1
100,7.3,Netflix,1
101,7.2,Netflix,1
102,7.2,Netflix,1
103,7.8,Netflix,1
104,7.8,Netflix,1
105,7.1,Netflix,1
106,7.4,Netflix,1
107,7.5,Netflix,1
108,7.7,Netflix,1
109,7.1,Netflix,1
110,8.2,Netflix,1
111,7.2,Netflix,1
112,8.1,Netflix,1
113,6.8,Netflix,1
114,7.2,Netflix,1
115,7.4,Netflix,1
116,8.1,Netflix,1
117,7,Netflix,1
118,7.2,Netflix,1
119,7.3,Netflix,1
120,7,Netflix,1
121,7.5,Netflix,1
122,7.3,Netflix,1
123,6.8,Netflix,1
124,8.1,Netflix,1
125,7.2,Netflix,1
126,7.1,Netflix,1
127,7.6,Netflix,1
128,7.5,Netflix,1
129,7.6,Netflix,1
130,7.6,Netflix,1
131,7.3,Netflix,1
132,7.8,Netflix,1
133,7.7,Netflix,1
134,8.1,Netflix,1
135,7.5,Netflix,1
136,7.4,Netflix,1
137,6.9,Netflix,1
138,7.2,Netflix,1
139,7.1,Netflix,1
140,7.2,Netflix,1
141,7.1,Netflix,1
142,8.4,Netflix,1
143,7.4,Netflix,1
144,7.4,Netflix,1
145,7,Netflix,1
146,7.1,Netflix,1
147,7.2,Netflix,1
148,7.4,Netflix,1
149,8.1,Netflix,1
150,6.6,Netflix,1
151,7.5,Netflix,1
152,8.2,Netflix,1
153,7.1,Netflix,1
154,6.9,Netflix,1
155,8.1,Netflix,1
156,7.9,Netflix,1
157,6.6,Netflix,1
158,7.4,Netflix,1
159,7.4,Netflix,1
160,7.3,Netflix,1
161,7.6,Netflix,1
162,6.7,Netflix,1
163,7.7,Netflix,1
164,6.8,Netflix,1
165,8.2,Netflix,1
166,7.5,Netflix,1
167,7.2,Netflix,1
168,7,Netflix,1
169,7.2,Netflix,1
170,7.7,Netflix,1
171,7.6,Netflix,1
172,8.3,Netflix,1
173,7,Netflix,1
174,7.3,Netflix,1
175,7.4,Netflix,1
176,6.6,Netflix,1
177,6.7,Netflix,1
178,8.2,Netflix,1
179,6.7,Netflix,1
180,7.5,Netflix,1
